Judge ID,Project ID,Raw Score
AE031,OP-I5N,85
AK037,OP-I5N,84
BH060,OP-I5N,85
BS071,OP-I5N,71
CK089,OP-I5N,92
AF032,OP-3CA,72
AK037,OP-3CA,74
BS071,OP-3CA,35
CF084,OP-3CA,69
CG085,OP-3CA,63
AS045,OP-ASC,80
BH060,OP-ASC,75
CF084,OP-ASC,73
CK089,OP-ASC,87
CW101,OP-ASC,66
AD030,OP-9SJ,84
AK037,OP-9SJ,90
CG085,OP-9SJ,88
CP094,OP-9SJ,94
CW101,OP-9SJ,91
AF032,OP-DJS,100
AS045,OP-DJS,95
BS071,OP-DJS,85
CF084,OP-DJS,98
CK089,OP-DJS,100
BH060,OP-J39,95
CF084,OP-J39,95
CG085,OP-J39,97
CP094,OP-J39,90
CW101,OP-J39,100
AF032,OP-PIA,78
BS071,OP-PIA,60
CF084,OP-PIA,90
CK089,OP-PIA,90
CP094,OP-PIA,48
BS071,OP-ROB,38
CF084,OP-ROB,83
CK089,OP-ROB,85
CP094,OP-ROB,54
CW101,OP-ROB,62
AE031,OP-WNH,87
AK037,OP-WNH,80
BH060,OP-WNH,73
CG085,OP-WNH,96
CP094,OP-WNH,75
AG033,OP-BJG,92
BA053,OP-BJG,83
CB080,OP-BJG,88
CL090,OP-BJG,93
AG033,OP-8VW,84
BA053,OP-8VW,72
BH060,OP-8VW,85
CL090,OP-8VW,94
CV100,OP-8VW,81
AG033,OP-CL7,92
AY051,OP-CL7,87
BA053,OP-CL7,89
CL090,OP-CL7,86
CV100,OP-CL7,85
AG033,OP-QIH,90
BA053,OP-QIH,79
CB080,OP-QIH,85
CL090,OP-QIH,88
DD108,OP-QIH,87
AA027,OP-MZE,81
AK037,OP-MZE,90
BE057,OP-MZE,92
CL090,OP-MZE,85
CV100,OP-MZE,84
AA027,OP-QNO,83
BK063,OP-QNO,82
CB080,OP-QNO,89
CV100,OP-QNO,90
CW101,OP-QNO,95
AG033,OP-0VV,43
AL038,OP-0VV,91
AY051,OP-0VV,71
BA053,OP-0VV,56
DD108,OP-0VV,72
AT046,OP-0F0,86
AV048,OP-0F0,100
AY051,OP-0F0,98
BU073,OP-0F0,100
CD082,OP-0F0,84
AB028,OP-BVY,83
BJ062,OP-BVY,94
CA079,OP-BVY,83
CC081,OP-BVY,93
CD082,OP-BVY,79
AB028,OP-EMW,81
BF058,OP-EMW,78
BN066,OP-EMW,71
CD082,OP-EMW,80
AA027,OP-VES,73
BF058,OP-VES,82
BP068,OP-VES,70
BV074,OP-VES,83
CE083,OP-VES,87
AC029,OP-EUK,99
AV048,OP-EUK,100
BJ062,OP-EUK,93
CR096,OP-EUK,99
AD030,OP-1JH,65
BN066,OP-1JH,69
BU073,OP-1JH,64
CD082,OP-1JH,87
CM091,OP-1JH,72
AA027,OP-5MN,71
AT046,OP-5MN,85
BP068,OP-5MN,63
BV074,OP-5MN,74
CR096,OP-5MN,83
AC029,OP-FV2,92
BR070,OP-FV2,91
CA079,OP-FV2,86
CM091,OP-FV2,87
DB106,OP-FV2,85
AA027,OP-K8Z,85
AD030,OP-K8Z,95
AE031,OP-K8Z,81
CA079,OP-K8Z,86
CE083,OP-K8Z,93
AC029,OP-LN4,93
BP068,OP-LN4,78
BU073,OP-LN4,84
CM091,OP-LN4,81
DB106,OP-LN4,88
AB028,OP-NUK,91
BT072,OP-NUK,100
CB080,OP-NUK,85
CR096,OP-NUK,94
AE031,OP-TA1,85
AY051,OP-TA1,90
BT072,OP-TA1,90
CD082,OP-TA1,83
CM091,OP-TA1,87
AB028,OP-VCX,81
BT072,OP-VCX,83
BV074,OP-VCX,95
CF084,OP-VCX,96
DB106,OP-VCX,96
AT046,OP-YVB,82
AY051,OP-YVB,89
BT072,OP-YVB,75
CE083,OP-YVB,96
CM091,OP-YVB,90
AB028,OP-1YJ,63
AY051,OP-1YJ,74
BJ062,OP-1YJ,79
CB080,OP-1YJ,35
CR096,OP-1YJ,78
AC029,OP-BZN,88
AW049,OP-BZN,69
BN066,OP-BZN,74
CC081,OP-BZN,86
AD030,OP-FM2,71
BM065,OP-FM2,82
BR070,OP-FM2,82
CA079,OP-FM2,65
CE083,OP-FM2,73
AT046,OP-LMU,92
BM065,OP-LMU,82
BP068,OP-LMU,95
BU073,OP-LMU,69
CR096,OP-LMU,94
AE031,OP-VMT,70
BJ062,OP-VMT,78
BR070,OP-VMT,86
CC081,OP-VMT,73
AC029,OP-Z2I,90
BN066,OP-Z2I,82
BV074,OP-Z2I,81
DB106,OP-Z2I,96
AW049,OP-030,56
AY051,OP-030,81
BM065,OP-030,76
BR070,OP-030,77
CC081,OP-030,81
AW049,OP-AEZ,63
BM065,OP-AEZ,80
BT072,OP-AEZ,65
CA079,OP-AEZ,88
CD082,OP-AEZ,90
AW049,OP-6WW,80
BM065,OP-6WW,85
BP068,OP-6WW,100
CC081,OP-6WW,88
DB106,OP-6WW,82
AW049,OP-OS1,72
BJ062,OP-OS1,92
BR070,OP-OS1,93
BV074,OP-OS1,100
CE083,OP-OS1,95
AT046,OP-V67,100
AW049,OP-V67,80
BN066,OP-V67,93
BU073,OP-V67,74
CD082,OP-V67,88
AL038,OP-FDP,54
BE057,OP-FDP,60
BK063,OP-FDP,48
CN092,OP-FDP,35
DD108,OP-FDP,65
AL038,OP-56Z,100
AV048,OP-56Z,75
BE057,OP-56Z,88
BK063,OP-56Z,79
CN092,OP-56Z,86
AL038,OP-9DO,94
AV048,OP-9DO,81
BE057,OP-9DO,92
BK063,OP-9DO,85
DD108,OP-9DO,93
AL038,OP-0XQ,80
AV048,OP-0XQ,59
BK063,OP-0XQ,90
CN092,OP-0XQ,83
DD108,OP-0XQ,72
AU047,OP-04Z,96
BE057,OP-04Z,98
BG059,OP-04Z,100
CS097,OP-04Z,98
CU099,OP-04Z,98
AH034,OP-B0G,88
AR044,OP-B0G,63
BL064,OP-B0G,67
CS097,OP-B0G,85
DC107,OP-B0G,73
AH034,OP-Y6Y,99
BL064,OP-Y6Y,91
CS097,OP-Y6Y,95
CT098,OP-Y6Y,87
DC107,OP-Y6Y,85
BB054,OP-CL4,84
BF058,OP-CL4,84
BY077,OP-CL4,91
CJ088,OP-CL4,77
DA105,OP-CL4,84
AS045,OP-YRK,100
BH060,OP-YRK,90
BY077,OP-YRK,87
CN092,OP-YRK,92
DA105,OP-YRK,90
AS045,OP-IG2,90
BB054,OP-IG2,70
BY077,OP-IG2,92
CY103,OP-IG2,65
DA105,OP-IG2,72
AN040,OP-K45,87
BF058,OP-K45,91
CJ088,OP-K45,80
CY103,OP-K45,85
DA105,OP-K45,95
AN040,OP-U62,86
BB054,OP-U62,85
CJ088,OP-U62,72
CY103,OP-U62,75
DA105,OP-U62,74
AF032,OP-0BA,100
AN040,OP-0BA,100
BF058,OP-0BA,98
BY077,OP-0BA,96
CY103,OP-0BA,85
AN040,OP-7VT,99
BB054,OP-7VT,100
BY077,OP-7VT,74
CJ088,OP-7VT,79
CN092,OP-7VT,97
AP042,OP-WMC,89
AU047,OP-WMC,84
AV048,OP-WMC,89
BG059,OP-WMC,93
CU099,OP-WMC,81
AP042,OP-CAG,91
AU047,OP-CAG,92
BG059,OP-CAG,99
CU099,OP-CAG,84
AU047,OP-0FP,96
AV048,OP-0FP,95
BG059,OP-0FP,98
CU099,OP-0FP,94
DC107,OP-0FP,95
AU047,OP-GXR,100
BG059,OP-GXR,84
CU099,OP-GXR,93
DC107,OP-GXR,95
AH034,OP-4T8,92
AR044,OP-4T8,68
BL064,OP-4T8,76
CS097,OP-4T8,91
CT098,OP-4T8,78
AD030,OP-PVO,95
AH034,OP-PVO,98
AP042,OP-PVO,93
BL064,OP-PVO,81
CT098,OP-PVO,81
AP042,OP-VQ5,98
AR044,OP-VQ5,86
BG059,OP-VQ5,98
BL064,OP-VQ5,93
CS097,OP-VQ5,99
CT098,OP-VQ5,98
